Stagione;Calciatore;Squadra;Età;Partite Giocate;Minuti Giocati;Reti;Assist;Reti Non Su Rigore;Rigori Tirati;Ammonizioni;Espulsioni;Ruolo?
2024-25;James Abankwah;Udinese;20;6;88;0;0;0;0;1;0;Dif,Cen
2024-25;Saud Abdulhamid;Roma;25;4;205;0;1;0;0;0;0;Dif
2024-25;Oliver Abildgaard;Como;28;1;7;0;0;0;0;0;0;Cen
2024-25;Tammy Abraham;Roma;26;1;1;0;0;0;0;0;0;Att
2024-25;Tammy Abraham;Milan;26;28;1.183;3;4;2;2;1;0;Att
2024-25;Federico Accornero;Genoa;20;1;5;0;0;0;0;0;0;Cen
2024-25;Francesco Acerbi;Inter;36;23;1.710;0;1;0;0;0;0;Dif
2024-25;Zach Adams;Torino;28;36;2.652;9;3;9;9;2;0;Att
2024-25;Yacine Adli;Fiorentina;24;26;1.234;4;6;4;4;3;1;Cen
2024-25;Vasilije Adžić;Juventus;18;6;42;0;0;0;0;0;0;Cen,Att
2024-25;Michel Aebischer;Bologna;27;14;724;0;0;0;0;2;0;Cen
2024-25;Honest Ahanor;Genoa;16;6;270;0;0;0;0;0;0;Dif,Cen
2024-25;Junior Ajayi;Hellas Verona;19;2;13;0;0;0;0;0;0;Att
2024-25;Jean-Daniel Akpa-Akpro;Monza;31;14;966;0;0;0;0;4;0;Cen
2024-25;David Akpan Ankeye;Genoa;22;4;45;0;0;0;0;0;0;Att,Cen
2024-25;Faride Alidou;Hellas Verona;23;3;71;0;0;0;0;0;0;Att,Cen
2024-25;Dele Alli;Como;28;1;9;0;0;0;0;0;1;Cen
2024-25;Pontus Almqvist;Parma;25;29;1.112;1;1;1;1;5;0;Att,Cen
2024-25;Giorgio Altare;Venezia;25;12;753;0;0;0;0;2;0;Dif
2024-25;Sofyan Amrabat;Fiorentina;27;2;180;0;0;0;0;0;0;Cen
2024-25;Angeliño;Roma;27;38;3.177;2;1;2;2;1;0;Dif
2024-25;Lorenzo Anghelè;Juventus;19;1;6;0;0;0;0;0;0;Att
2024-25;Faustino Anjorin;Empoli;22;22;1.114;2;3;2;2;3;0;Cen
2024-25;Marko Arnautović;Inter;35;18;549;4;2;4;4;1;0;Att
2024-25;Kristjan Asllani;Inter;22;22;988;2;2;0;0;4;0;Cen
2024-25;Arthur Atta;Udinese;21;27;1.251;0;1;0;0;5;0;Cen,Att
2024-25;Emil Audero;Como;27;8;720;0;0;0;0;0;0;Por
2024-25;Tommaso Augello;Cagliari;29;38;2.713;0;7;0;0;3;0;Dif
2024-25;Carlos Augusto;Inter;25;29;1.691;3;2;3;3;1;0;Dif
2024-25;Yann Aurel Bisseck;Inter;23;27;1.643;3;2;3;3;4;0;Dif
2024-25;Paulo Azzi;Cagliari;30;6;426;0;0;0;0;2;0;Dif
2024-25;Oussama El Azzouzi;Bologna;23;2;19;0;0;0;0;0;0;Cen
2024-25;Jacopo Bacci;Empoli;19;3;31;0;0;0;0;0;0;Cen
2024-25;Milan Badelj;Genoa;35;23;1.472;1;0;1;1;2;0;Cen
2024-25;Mitchel Bakker;Atalanta;24;1;22;0;0;0;0;0;0;Cen
2024-25;Tommaso Baldanzi;Roma;21;31;832;1;1;1;1;2;0;Cen,Att
2024-25;Keita Baldé Diao;Monza;29;11;638;2;0;2;2;2;0;Att
2024-25;Botond Balogh;Parma;22;29;2.053;0;1;0;0;5;0;Dif
2024-25;Mario Balotelli;Genoa;33;6;62;0;0;0;0;2;0;Att,Cen
2024-25;Lameck Banda;Lecce;23;15;610;0;1;0;0;1;0;Att,Cen
2024-25;Daniel Bandeira;Hellas Verona;24;11;407;0;0;0;0;1;0;Cen
2024-25;Mattia Bani;Genoa;30;20;1.507;0;0;0;0;3;0;Dif
2024-25;Antonín Barák;Fiorentina;29;1;54;0;0;0;0;0;0;Cen
2024-25;Federico Barba;Como;30;7;431;0;0;0;0;0;0;Dif
2024-25;Nicolò Barella;Inter;27;33;2.493;3;6;3;3;4;0;Cen
2024-25;Davide Bartesaghi;Milan;18;4;118;0;0;0;0;0;1;Dif
2024-25;Federico Baschirotto;Lecce;27;38;3.420;2;0;2;2;3;0;Dif
2024-25;Daniele Baselli;Como;32;2;22;0;0;0;0;0;0;Cen
2024-25;Alessandro Bastoni;Inter;25;33;2.401;1;5;1;1;6;1;Dif
2024-25;Reda Belahyane;Hellas Verona;20;22;1.658;0;2;0;0;6;1;Cen
2024-25;Reda Belahyane;Lazio;20;6;198;0;0;0;0;0;1;Cen
2024-25;Raoul Bellanova;Torino;24;1;87;0;0;0;0;0;0;Dif
2024-25;Raoul Bellanova;L'Aquila;24;34;2.402;0;9;0;0;3;0;Dif
2024-25;Andrea Belotti;Como;30;18;593;2;0;2;2;1;0;Att
2024-25;Lucas Beltrán;Fiorentina;23;33;1.953;5;4;3;3;6;0;Att,Cen
2024-25;Adrian Benedyczak;Parma;23;9;214;0;0;0;0;0;0;Att,Cen
2024-25;Ismaël Bennacer;Milan;26;6;300;0;0;0;0;2;0;Cen
2024-25;Medon Berisha;Lecce;20;17;716;0;1;0;0;5;0;Cen
2024-25;Adrian Bernabe;Parma;23;21;1.453;1;1;1;1;1;0;Cen
2024-25;Antoine Bernede;Hellas Verona;25;14;594;1;0;1;1;2;0;Cen
2024-25;Sam Beukema;Bologna;25;35;3.012;0;1;0;0;1;0;Dif
2024-25;Alessandro Bianco;Monza;21;34;2.600;1;0;1;1;9;0;Cen
2024-25;Alessandro Bianco;Fiorentina;21;1;18;0;0;0;0;0;0;Cen
2024-25;Jaka Bijol;Udinese;25;34;2.963;1;0;1;1;13;1;Dif
2024-25;Philip Billing;Napoli;28;10;197;1;0;1;1;1;0;Cen
2024-25;Cristiano Biraghi;Torino;31;15;1.158;0;0;0;0;0;0;Dif
2024-25;Cristiano Biraghi;Fiorentina;31;8;433;1;0;1;1;1;0;Dif
2024-25;Samuele Birindelli;Monza;25;21;1.468;3;0;3;3;2;0;Dif,Cen
2024-25;Bjarki Bjarkason;Venezia;24;9;165;0;0;0;0;2;0;Dif,Cen
2024-25;Emil Bohinen;Genoa;25;3;166;0;0;0;0;0;0;Cen
2024-25;Warren Bondo;Monza;20;20;1.618;0;0;0;0;5;1;Cen
2024-25;Warren Bondo;Milan;20;4;162;0;0;0;0;1;0;Cen
2024-25;Kevin Bonifazi;Lecce;28;3;65;0;0;0;0;0;0;Dif
2024-25;Ange-Yoan Bonny;Parma;20;37;2.529;6;4;4;4;2;0;Att
2024-25;Edoardo Bove;Fiorentina;22;12;851;1;2;1;1;3;0;Cen,Att
2024-25;Domagoj Bradarić;Hellas Verona;24;28;1.933;1;0;1;1;6;0;Dif
2024-25;Matthias Braunöder;Como;22;8;268;0;0;0;0;3;1;Cen
2024-25;Iker Bravo;Udinese;19;29;682;2;1;2;2;3;0;Att,Cen
2024-25;Gleison Bremer;Juventus;27;6;540;0;0;0;0;2;0;Dif
2024-25;Brenner;Udinese;24;9;386;1;2;1;1;0;0;Cen,Att
2024-25;Marco Brescianini;Atalanta;24;29;991;4;2;4;4;1;0;Cen
2024-25;Arvid Brorsson;Monza;25;6;362;0;0;0;0;0;0;Dif
2024-25;Tajon Buchanan;Inter;25;6;95;0;0;0;0;0;0;Dif,Att
2024-25;Alessandro Buongiorno;Napoli;25;22;1.924;1;0;1;1;2;0;Dif
2024-25;Rareș-Cătălin Burnete;Lecce;20;4;28;0;0;0;0;0;0;Att
2024-25;Gianluca Busio;Venezia;22;33;2.518;2;0;2;2;4;0;Cen
2024-25;Jean Butez;Como;29;19;1.666;0;0;0;0;0;0;Por
2024-25;Liberato Cacace;Empoli;23;33;2.230;2;4;2;2;6;0;Cen,Dif
2024-25;Alessio Cacciamani;Torino;17;2;31;0;0;0;0;0;0;Cen,Dif
2024-25;Davide Calabria;Bologna;27;11;632;0;1;0;0;3;0;Dif
2024-25;Davide Calabria;Milan;27;7;316;0;0;0;0;0;0;Dif
2024-25;Luca Caldirola;Monza;33;14;876;0;0;0;0;5;0;Dif
2024-25;Hakan Çalhanoğlu;Inter;30;29;1.947;5;6;2;2;5;0;Cen
2024-25;Drissa Camara;Parma;22;21;447;0;0;0;0;3;0;Cen,Att
2024-25;Francesco Camarda;Milan;16;10;206;0;0;0;0;0;0;Att,Cen
2024-25;Nicolò Cambiaghi;Bologna;23;18;620;1;3;1;1;0;0;Att
2024-25;Andrea Cambiaso;Juventus;24;33;2.221;2;3;2;2;4;0;Dif,Att
2024-25;Thomas Campaniello;Empoli;16;3;25;0;0;0;0;0;0;Att
2024-25;Matteo Cancellieri;Parma;22;27;1.424;3;0;3;3;2;1;Att,Cen
2024-25;Fali Candé;Venezia;26;17;1.530;1;1;1;1;4;0;Dif
2024-25;Antonio Candela;Venezia;24;14;1.008;0;1;0;0;2;0;Dif
2024-25;Gianluca Caprari;Monza;31;34;1.651;3;2;1;1;3;0;Cen,Att
2024-25;Elia Caprile;Cagliari;22;18;1.620;0;0;0;0;0;0;Por
2024-25;Elia Caprile;Napoli;22;4;325;0;0;0;0;0;0;Por
2024-25;Francesco Caputo;Empoli;36;1;6;0;0;0;0;0;0;Att
2024-25;Maxence Caqueret;Como;24;18;1.087;2;3;2;2;4;0;Cen
2024-25;Andrea Carboni;Monza;23;26;2.191;0;1;0;0;5;0;Dif
2024-25;Franco Carboni;Venezia;21;8;226;0;0;0;0;2;0;Dif
2024-25;Marco Carnesecchi;Atalanta;24;34;3.060;0;0;0;0;1;0;Por
2024-25;Cesare Casadei;Torino;21;15;1.017;1;1;1;1;1;0;Cen
2024-25;Nicolò Casale;Bologna;26;15;900;0;1;0;0;1;0;Dif
2024-25;Nicolò Casale;Lazio;26;2;135;0;0;0;0;0;0;Dif
2024-25;Federico Cassa;Atalanta;18;2;14;0;0;0;0;0;0;Cen,Att
2024-25;Valentín Castellanos;Lazio;25;29;2.384;10;3;8;8;9;1;Att
2024-25;Santiago Castro;Bologna;19;36;2.294;8;4;8;8;7;0;Att
2024-25;Gaetano Castrovilli;Monza;27;12;596;0;0;0;0;0;0;Cen
